rank,Youtuber,subscribers,views,video count,category,started
342,The ACE Family,"1,88,00,000","4,49,72,82,091",668,People & Blogs,2016
343,Clash of Clans,"1,88,00,000","3,62,35,86,697",553,Gaming,2013
344,Sun TV,"1,87,00,000","13,62,29,98,578","34,648",People & Blogs,2016
345,Ninja Kidz TV,"1,87,00,000","9,14,54,85,770",267,Entertainment,2017
346,Netflix India,"1,87,00,000","5,22,87,00,571","2,707",People & Blogs,2016
347,Beast Reacts,"1,87,00,000","2,52,84,80,817",215,People & Blogs,2016
348,Britain's Got Talent,"1,86,00,000","10,51,25,30,241","3,735",Entertainment,2008
349,TRT Originals Urdu,"1,86,00,000","7,37,01,03,100",740,Entertainment,2020
350,Lil Nas X,"1,86,00,000","5,65,90,51,618",37,Music,2018
351,Calvin Harris,"1,85,00,000","14,88,68,53,329",76,Music,2007
352,Green Gold TV - Official Channel,"1,85,00,000","8,98,53,15,647","1,090",Film & Animation,2011
353,TheWillyrex,"1,85,00,000","6,95,73,19,094","6,798",Comedy,2011
354,Cardi B,"1,85,00,000","7,06,96,24,864",60,People & Blogs,2016
355,invictor,"1,85,00,000","7,05,07,21,828","2,106",Gaming,2013
356,shakiraVEVO,"1,84,00,000","22,25,73,41,033",189,Music,2009
357,CKN,"1,83,00,000","18,78,63,77,776",814,Entertainment,2015
358,Official Pink Panther,"1,83,00,000","9,94,21,33,522",629,Film & Animation,2013
359,Sonotek,"1,83,00,000","7,13,32,40,982","8,169",Entertainment,2011
360,MiawAug,"1,82,00,000","5,23,63,02,709","3,287",Gaming,2014
361,KBS WORLD TV,"1,82,00,000","13,92,66,19,677","58,485",Entertainment,2007
362,Turma da Mônica,"1,82,00,000","13,08,81,59,940","1,094",Film & Animation,2012
363,CookieSwirlC,"1,82,00,000","20,93,85,93,710","3,571",Entertainment,2013
364,David Dobrik,"1,82,00,000","7,08,74,07,988",536,People & Blogs,2014
365,Unbox Therapy,"1,82,00,000","4,33,25,32,776","2,053",Science & Technology,2010
366,The Royalty Family,"1,82,00,000","4,49,00,04,408",633,People & Blogs,2017
367,A_S Gaming,"1,82,00,000","2,47,64,64,261",932,Gaming,2016
368,HiMan,"1,82,00,000","2,36,76,99,484",326,People & Blogs,2014
369,BabyBus - Cerita & Lagu Anak-anak,"1,81,00,000","10,23,22,50,581",672,Education,2019
370,Dan-Sa / Daniel Saboya,"1,81,00,000","6,16,57,02,828","2,062",Music,2007
371,Vania Mania Kids,"1,81,00,000","6,90,84,11,472",825,People & Blogs,2015
372,PDK Films,"1,81,00,000","3,91,03,30,714",108,Entertainment,2009
373,GEN HALILINTAR,"1,81,00,000","3,17,89,60,318",969,Entertainment,2015
374,ElTrollino,"1,80,00,000","5,48,61,03,239","1,517",Entertainment,2013
375,Мирошка ТВ,"1,80,00,000","4,60,37,51,673",84,Education,2018
376,TheOdd1sOut,"1,80,00,000","4,02,34,96,321",113,Comedy,2014
377,INCRÍVEL,"1,80,00,000","3,01,74,67,860","5,682",People & Blogs,2017
378,Emiway Bantai,"1,80,00,000","3,03,88,99,728",201,Music,2013
379,Vsauce,"1,80,00,000","2,41,59,27,927",391,Science & Technology,2007
380,Farruko,"1,79,00,000","8,48,00,00,414",193,Music,2009
381,Diana and Roma EN,"1,79,00,000","3,86,81,66,958",424,People & Blogs,2011
382,ArianaGrandeVevo,"1,78,00,000","19,01,12,69,725",177,Music,2010
383,Like Nastya Vlog,"1,78,00,000","7,56,19,33,732",397,People & Blogs,2016
384,Demi Lovato,"1,78,00,000","6,49,51,31,112",282,Music,2008
385,Lele Pons,"1,78,00,000","4,95,85,84,356",154,Comedy,2015
386,Lil Pump,"1,78,00,000","4,09,11,09,829",59,Music,2015
387,Naisa Alifia Yuriza (N.A.Y),"1,78,00,000","2,52,15,15,641","1,462",People & Blogs,2017
388,SCTV,"1,77,00,000","8,58,83,29,369","50,080",Entertainment,2011
389,Good Mythical Morning,"1,77,00,000","8,07,42,70,215","2,980",Entertainment,2008
390,TheGrefg,"1,77,00,000","6,07,78,20,746","3,332",Gaming,2012
391,Ali-A,"1,77,00,000","5,76,60,28,299","3,920",Gaming,2006
392,Marmok,"1,77,00,000","3,13,19,25,799",344,Gaming,2008
393,Mother Goose Club Playhouse,"1,76,00,000","15,50,03,99,390","1,282",Shows,2009
394,RsiamMusic : อาร์สยาม,"1,76,00,000","10,95,21,54,122","2,663",Music,2011
395,Little Angel Español - Canciones Infantiles,"1,76,00,000","8,52,55,69,510",580,Education,2018
396,Познаватель,"1,76,00,000","8,52,28,26,642",476,Entertainment,2014
397,JFlaMusic,"1,76,00,000","3,65,75,26,529",282,Music,2011
398,Village Cooking Channel,"1,76,00,000","4,47,74,36,881",211,Howto & Style,2018
399,FactTechz,"1,75,00,000","2,11,29,29,572",578,Entertainment,2016
400,Sebastián Yatra,"1,74,00,000","9,31,69,25,082",196,News & Politics,2013
401,officialpsy,"1,74,00,000","9,82,52,92,199",119,Music,2010
402,Vlad and Niki IDN,"1,74,00,000","8,23,15,18,268",392,,2018
403,Porta dos Fundos,"1,74,00,000","7,25,88,38,590","1,960",Entertainment,2012
404,Liza Koshy,"1,74,00,000","2,59,55,54,113",189,Comedy,2013
405,etvteluguindia,"1,73,00,000","19,46,52,95,267","1,11,360",Entertainment,2010
406,Vijay Television,"1,73,00,000","19,90,16,16,359","27,059",Entertainment,2007
407,TED-Ed,"1,73,00,000","3,28,78,34,094","1,948",Education,2011
408,Stubborn Facts,"1,73,00,000","82,77,86,482",217,Film & Animation,2016
409,PopularMMOs,"1,72,00,000","14,47,57,83,059","4,686",Gaming,2012
410,SQUEEZIE,"1,72,00,000","9,25,86,09,822","1,471",Gaming,2011
411,Masha e o Urso,"1,72,00,000","7,13,18,16,532",856,Shows,2016
412,Willyrex,"1,72,00,000","4,80,84,57,361","6,686",Gaming,2009
413,RobleisIUTU,"1,72,00,000","4,68,05,73,231","1,145",Entertainment,2013
414,EeOneGuy,"1,72,00,000","3,80,44,13,513",363,Entertainment,2013
415,LuisFonsiVEVO,"1,71,00,000","14,00,85,85,257",96,Music,2009
416,GRAMMY GOLD OFFICIAL,"1,71,00,000","17,97,40,40,182","5,334",Music,2014
417,SUPER SLICK SLIME SAM,"1,71,00,000","6,07,84,66,417",741,Howto & Style,2018
418,HowToBasic,"1,71,00,000","3,56,10,01,854",563,Howto & Style,2011
419,李子柒 Liziqi,"1,71,00,000","2,80,15,48,472",128,Howto & Style,2017
420,Gaby and Alex,"1,70,00,000","7,94,25,53,236",351,Entertainment,2012
421,شبكة العاب العرب | Arab Games Network,"1,70,00,000","7,72,32,77,433","5,515",Gaming,2013
422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"1,70,00,000","6,22,13,83,175",192,Education,2017
423,Rafa & Luiz,"1,70,00,000","6,27,33,15,738","2,184",Entertainment,2015
424,Khan GS Research Centre,"1,70,00,000","1,67,06,39,781",347,Education,2019
425,हिंदी - Genevieve's Playhouse,"1,69,00,000","9,19,51,78,282",96,Education,2018
426,الـريماس - Al-Remas,"1,69,00,000","10,55,08,88,024","2,047",Music,2013
427,Junya.じゅんや,"1,69,00,000","9,52,92,05,653","3,150",Entertainment,2020
428,Guava Juice,"1,69,00,000","8,61,42,18,175","1,754",Gaming,2006
429,Doggy Doggy Cartoons,"1,68,00,000","6,45,92,85,262","4,723",Entertainment,2012
430,IGN,"1,68,00,000","14,63,39,22,961","1,49,770",Gaming,2006
431,Jason Derulo,"1,68,00,000","8,80,85,99,101",451,Music,2008
432,Maya and Mary,"1,68,00,000","6,30,42,51,610",539,Entertainment,2013
433,DUDU e CAROL,"1,67,00,000","6,53,09,46,230","2,874",Autos & Vehicles,2013
434,Jane ASMR 제인,"1,67,00,000","6,44,35,86,305","1,546",,2012
435,Anitta,"1,67,00,000","6,61,01,75,435",99,Music,2011
436,Werever2morro,"1,67,00,000","2,71,40,71,108",972,Entertainment,2007
437,Triggered Insaan,"1,67,00,000","2,65,74,91,028",265,Comedy,2014
438,7clouds,"1,66,00,000","11,63,79,64,945","1,940",Music,2013
439,Tu COSMOPOLIS,"1,66,00,000","4,87,59,00,353","6,796",People & Blogs,2014
440,DeToxoMoroxo,"1,66,00,000","2,21,21,49,791",488,Entertainment,2012
441,Sourav Joshi Vlogs,"1,65,00,000","5,97,08,49,535","1,039",People & Blogs,2019
442,TheBrianMaps,"1,65,00,000","4,09,02,89,417",476,Comedy,2012
443,Manual do Mundo,"1,65,00,000","3,36,75,72,384","2,117",Howto & Style,2006
444,SonyMusicSouthVEVO,"1,64,00,000","15,09,05,57,603","4,304",Music,2014
445,zbing z.,"1,64,00,000","8,30,79,04,773","2,763",Gaming,2014
446,Dhar Mann,"1,64,00,000","8,64,24,59,264",649,People & Blogs,2018
447,IDEAS EN 5 MINUTOS,"1,64,00,000","3,50,90,49,258","4,658",Howto & Style,2017
448,W2S,"1,63,00,000","4,73,96,09,055",653,Gaming,2012
449,Shemaroo Comedy,"1,63,00,000","4,92,34,11,314","3,467",Entertainment,2007
450,ExtraPolinesios,"1,63,00,000","4,69,63,67,446",480,People & Blogs,2012
451,Goldmines Great Indian Comedy,"1,63,00,000","4,23,85,95,667","2,008",Film & Animation,2016
452,Prajapati News,"1,63,00,000","90,79,65,523","1,081",Comedy,2013
453,SOMOY TV,"1,62,00,000","9,47,68,95,180","1,24,072",News & Politics,2015
454,Sony AATH,"1,62,00,000","10,71,88,91,416","14,759",Shows,2013
455,Miley Cyrus,"1,62,00,000","6,23,54,05,830",124,Entertainment,2009
456,Sandra Cires Art,"1,62,00,000","3,70,21,73,328",953,Howto & Style,2011
457,tanboy kun,"1,62,00,000","3,02,02,72,233",582,People & Blogs,2016
458,Sidhu Moose Wala,"1,62,00,000","4,07,83,30,367",111,Music,2017
459,Blippi - Educational Videos for Kids,"1,61,00,000","12,99,19,67,769",453,Education,2014
460,Queen Official,"1,61,00,000","9,72,35,39,941",908,Music,2008
461,Travis Scott,"1,61,00,000","7,18,70,33,169",13,Music,2013
462,Les' Copaque Production,"1,61,00,000","7,95,46,62,776","1,427",Film & Animation,2009
463,Zuni and Family,"1,61,00,000","5,83,06,69,187",176,People & Blogs,2017
464,Sidemen,"1,61,00,000","4,19,60,33,350",264,Entertainment,2015
465,The Game Theorists,"1,61,00,000","3,54,64,90,692",659,Gaming,2009
466,Antrax,"1,61,00,000","2,94,98,91,202",654,Gaming,2015
467,Canal IN,"1,61,00,000","2,57,30,50,059",723,People & Blogs,2017
468,Dushyant kukreja,"1,60,00,000","11,09,53,40,736",571,Entertainment,2015
469,TRANS TV Official,"1,60,00,000","8,78,09,37,851","1,23,467",Entertainment,2014
470,Little Mix,"1,60,00,000","7,04,79,68,268",278,Music,2011
471,RKD Studios,"1,60,00,000","4,13,32,34,619",622,Entertainment,2014
472,FailArmy,"1,60,00,000","2,04,16,20,563",337,Comedy,2011
473,El Reino a Jugar,"1,59,00,000","10,17,55,37,321",872,Education,2015
474,DopeLyrics,"1,59,00,000","9,80,35,33,121","1,937",Music,2016
475,Boyce Avenue,"1,59,00,000","6,23,01,90,520",438,Music,2007
476,Camila Cabello,"1,59,00,000","6,08,61,65,889",61,Music,2015
477,VICE,"1,59,00,000","4,17,49,62,442","3,694",Entertainment,2005
478,Kaykai Salaider,"1,59,00,000","4,24,87,04,474",399,Comedy,2011
479,Fede Vigevani,"1,59,00,000","4,74,54,14,554",865,Howto & Style,2009
480,Marques Brownlee,"1,59,00,000","3,08,24,86,680","1,454",Science & Technology,2008
481,jeffreestar,"1,59,00,000","2,57,51,83,135",428,Howto & Style,2006
482,Apple,"1,59,00,000","80,81,36,104",205,Science & Technology,2005
483,Kids Play,"1,58,00,000","7,71,39,81,883",545,Entertainment,2018
484,Aayu and Pihu Show,"1,58,00,000","7,83,73,11,552",352,Comedy,2017
485,JJ Olatunji,"1,58,00,000","3,63,14,94,389","1,183",Gaming,2011
486,Katie Angel,"1,58,00,000","3,00,79,47,714",732,People & Blogs,2015
487,MissaSinfonia,"1,58,00,000","1,91,87,77,559",232,Comedy,2011
488,AMARINTV : อมรินทร์ทีวี,"1,57,00,000","11,19,40,74,075","97,231",Entertainment,2014
489,Rotten Tomatoes Trailers,"1,57,00,000","12,81,19,81,848","9,582",Film & Animation,2011
490,Pitbull,"1,57,00,000","11,45,81,30,113",302,Music,2006
491,Enes Batur,"1,57,00,000","9,41,00,61,135","1,979",Gaming,2012
492,Jennifer Lopez,"1,57,00,000","9,51,20,25,119",224,Music,2005
493,Jason Vlogs,"1,57,00,000","7,13,77,78,517",666,Education,2015
494,Alejo Igoa,"1,57,00,000","5,27,61,27,016",699,Comedy,2014
495,Matt Stonie,"1,57,00,000","3,24,91,62,653",401,Entertainment,2012
496,Caeli YT,"1,57,00,000","1,50,92,44,860",545,Entertainment,2010
497,Pop Chartbusters,"1,56,00,000","7,81,79,83,360","2,154",Music,2011
498,Tilak,"1,56,00,000","6,13,25,15,137","3,614",Film & Animation,2020
499,AdMe,"1,56,00,000","4,01,27,49,893","5,356",Entertainment,2015
500,FunFun Toy Doll TV,"1,55,00,000","6,94,84,69,648",706,Entertainment,2016
501,News24,"1,55,00,000","5,98,24,43,648","1,57,377",News & Politics,2014
502,Roman Atwood Vlogs,"1,55,00,000","5,44,20,36,950","1,726",People & Blogs,2013
503,Dyland PROS,"1,55,00,000","1,29,45,19,810","1,803",Entertainment,2015
504,Gato Galactico | GALÁXIA,"1,54,00,000","5,60,28,02,498","2,085",Film & Animation,2013
505,FitDance,"1,54,00,000","6,54,18,27,030","3,537",Music,2013
506,Smile Family Spanish,"1,54,00,000","5,53,40,75,089",343,,2019
507,wifistudy,"1,54,00,000","2,80,52,32,542","46,290",Education,2014
508,Live,"1,53,00,000",0,0,,2015
509,RCTI - LAYAR DRAMA INDONESIA,"1,53,00,000","12,81,86,89,835","58,886",Entertainment,2015
510,SriBalajiMovies,"1,52,00,000","8,19,96,71,601","16,953",Entertainment,2011
511,Oyuncak Avı,"1,52,00,000","8,08,53,87,780",544,Entertainment,2014
512,AdeleVEVO,"1,52,00,000","11,47,03,55,227",51,Music,2009
513,Camilo,"1,52,00,000","6,00,36,97,328",80,Music,2010
514,Kerajinan 5-Menit,"1,52,00,000","4,46,57,27,515","3,392",People & Blogs,2018
515,Bizarrap,"1,52,00,000","4,68,34,88,651",78,Comedy,2017
516,T3ddy,"1,52,00,000","2,52,85,66,554","1,700",Comedy,2012
517,Musas,"1,52,00,000","2,35,93,75,167",611,Howto & Style,2012
518,Dan Rhodes,"1,51,00,000","10,71,51,45,365","1,315",Entertainment,2015
519,With Kids[위드키즈],"1,51,00,000","7,99,05,15,155",863,Entertainment,2012
520,And TV,"1,51,00,000","11,58,38,24,903","26,477",Entertainment,2015
521,TheRichest,"1,51,00,000","2,91,92,03,136","2,206",Education,2014
522,LOKESH GAMER,"1,51,00,000","1,53,55,89,708","1,186",Gaming,2017
523,Technoblade,"1,51,00,000","1,48,86,92,745",988,Gaming,2013
524,Ch7HD,"1,50,00,000","11,68,87,98,550","49,889",Entertainment,2010
525,POPS Kids,"1,50,00,000","8,67,84,92,072","4,478",Music,2014
526,SAM SMITH,"1,50,00,000","8,76,90,75,543",67,Music,2012
527,Like Nastya IDN,"1,50,00,000","6,48,38,45,834",430,Entertainment,2019
528,Like Nastya VNM,"1,50,00,000","8,13,24,15,475",456,Entertainment,2019
529,5-Minute Crafts FAMILY,"1,50,00,000","5,43,81,31,771","3,440",People & Blogs,2018
530,zayn,"1,50,00,000","4,55,96,92,349",14,Music,2016
531,Makiman131,"1,50,00,000","4,48,42,63,923","3,102",Gaming,2013
532,حِرف إبداعية في 5 دقائق,"1,50,00,000","4,16,05,11,912","4,404",Howto & Style,2017
533,Stokes Twins,"1,50,00,000","2,77,48,75,062",216,People & Blogs,2008
534,Ranz Kyle,"1,50,00,000","1,67,85,59,984",479,People & Blogs,2008
535,НТВ,"1,49,00,000","4,39,098",1,People & Blogs,2008
536,Henrique e Juliano,"1,49,00,000","12,48,42,53,152",285,Music,2009
537,LEGO,"1,49,00,000","18,84,06,17,532","28,683",Entertainment,2005
538,Volga Video,"1,49,00,000","9,17,15,17,368","18,735",Film & Animation,2012
539,Lahari Music | T-Series,"1,49,00,000","10,46,92,51,425","8,169",Music,2011
540,Kwebbelkop,"1,49,00,000","6,65,54,75,239","4,951",Gaming,2008
541,Talking Tom & Friends,"1,49,00,000","6,17,87,35,188",392,Entertainment,2010
542,Mariale,"1,49,00,000","2,56,84,93,946","1,918",Howto & Style,2010
543,Harsh Beniwal,"1,49,00,000","1,63,04,52,954",158,Comedy,2015
544,GMMTV OFFICIAL​​,"1,48,00,000","10,38,71,46,066","19,368",Entertainment,2010
545,BIGBANG,"1,48,00,000","7,35,32,65,213",776,Music,2005
546,La Rosa de Guadalupe,"1,48,00,000","8,34,96,95,433","5,225",Entertainment,2015
547,Dave and Ava - Nursery Rhymes and Baby Songs,"1,48,00,000","9,86,42,62,216",732,Education,2014
548,League of Legends,"1,48,00,000","6,60,43,82,784","1,340",Gaming,2009
549,Super Senya,"1,48,00,000","4,79,01,99,895",525,Entertainment,2016
550,Lachlan,"1,48,00,000","5,01,33,87,703","3,646",Gaming,2013
551,Reaction Time,"1,48,00,000","4,25,55,91,418","1,684",Entertainment,2015
552,ERB,"1,48,00,000","3,90,57,23,697",85,Entertainment,2006
553,YOLO AVENTURAS,"1,48,00,000","3,68,98,34,035",976,People & Blogs,2018
554,MrBeast Shorts,"1,48,00,000","1,93,87,96,955",87,People & Blogs,2020
555,Niana Guerrero,"1,48,00,000","1,35,90,23,136",391,Entertainment,2013
556,Zé Neto e Cristiano,"1,47,00,000","10,39,81,04,437",212,Music,2012
557,Dangal TV Channel,"1,47,00,000","8,28,25,92,676","8,625",Entertainment,2017
558,MK MUSIC,"1,47,00,000","7,77,30,89,325","4,624",Music,2010
559,NDTV India,"1,47,00,000","5,64,74,81,648","65,241",News & Politics,2008
560,les boys tv2,"1,47,00,000","4,51,89,66,874",381,Entertainment,2017
561,iTownGamePlay *Terror&Diversión*,"1,47,00,000","4,78,44,33,628","7,674",Entertainment,2012
562,Planeta das Gêmeas,"1,47,00,000","4,46,87,74,867",899,People & Blogs,2015
563,IDEIAS INCRÍVEIS,"1,47,00,000","3,49,80,40,367","4,643",Howto & Style,2017
564,Linus Tech Tips,"1,47,00,000","6,06,25,69,897","5,864",Science & Technology,2008
565,Maroon5VEVO,"1,46,00,000","18,91,73,03,323",143,Music,2009
566,Major Lazer Official,"1,46,00,000","8,88,69,13,617",407,Music,2009
567,Jorge & Mateus Oficial,"1,46,00,000","7,98,15,63,626",294,Music,2008
568,NMF News,"1,46,00,000","6,09,08,40,731","95,987",News & Politics,2013
569,BBC News Hindi,"1,46,00,000","5,54,45,47,819","16,437",News & Politics,2009
570,Lilly Singh,"1,46,00,000","3,48,02,50,258",858,Comedy,2010
571,MattyBRaps,"1,46,00,000","3,22,60,20,734",175,Music,2010
572,Daftar Populer,"1,46,00,000","1,85,95,86,741","2,898",Education,2017
573,LEGENDA FUNK,"1,46,00,000","1,31,05,44,121","2,250",Music,2013
574,SelenaGomezVEVO,"1,45,00,000","10,32,35,89,482",183,Music,2009
575,El Payaso Plim Plim,"1,45,00,000","12,57,30,29,533",992,Film & Animation,2013
576,Fueled By Ramen,"1,45,00,000","12,62,92,00,270","1,190",Music,2006
577,Thairath Online,"1,45,00,000","11,99,59,15,981","2,09,097",News & Politics,2010
578,CollegeHumor,"1,45,00,000","7,33,18,68,655","3,307",Comedy,2006
579,Bollywood Classics,"1,45,00,000","6,03,63,42,725","1,147",Entertainment,2011
580,Zhong,"1,45,00,000","9,68,53,21,623","1,081",Entertainment,2015
581,Wow Kidz Action,"1,45,00,000","6,37,84,81,319","1,445",Film & Animation,2017
582,News18 India,"1,45,00,000","5,06,98,17,134","1,20,858",News & Politics,2007
583,XpressTV,"1,45,00,000","3,64,41,37,000",630,Entertainment,2014
584,Maha Fun Tv,"1,45,00,000","2,38,51,90,008",51,Entertainment,2017
585,Mobile Legends: Bang Bang Official,"1,45,00,000","2,65,50,46,551","2,410",Gaming,2016
586,حقائق وأسرار,"1,45,00,000","2,17,59,11,149","1,312",Entertainment,2016
587,Drawblogs,"1,45,00,000","1,69,49,34,569",362,Entertainment,2014
588,Canal Nostalgia,"1,45,00,000","1,41,66,89,094",370,Entertainment,2008
589,Fifth Harmony,"1,44,00,000","7,52,69,71,366",67,Music,2013
590,Team Films Bhojpuri,"1,44,00,000","6,16,45,27,861","20,085",Music,2014
591,Chad Wild Clay,"1,44,00,000","6,16,16,05,244",630,Comedy,2006
592,Boram Tube ToysReview [보람튜브 토이리뷰],"1,44,00,000","4,91,41,28,767",568,People & Blogs,2016
593,Martin Garrix,"1,44,00,000","5,55,81,17,744",305,Music,2011
594,LIV Crime,"1,44,00,000","7,06,12,75,751","4,281",People & Blogs,2020
595,Super Polina,"1,44,00,000","4,81,21,87,551",539,People & Blogs,2014
596,Rclbeauty101,"1,44,00,000","3,91,95,24,704",478,Comedy,2010
597,TWICE,"1,44,00,000","3,73,36,83,543",852,Music,2016
598,Arif muhammad,"1,44,00,000","3,40,00,90,845",428,People & Blogs,2017
599,Cyprien,"1,44,00,000","3,00,58,99,595",205,Comedy,2007
600,The Slow Mo Guys,"1,44,00,000","2,34,65,92,288",297,Entertainment,2010
601,Дима Масленников,"1,44,00,000","2,01,32,34,398",401,Entertainment,2014
602,Genierock,"1,43,00,000","13,31,03,08,313","1,540",Music,2008
603,mujjuu___14,"1,43,00,000","9,54,85,97,909",556,People & Blogs,2020
604,PlayStation,"1,43,00,000","4,23,05,72,281","17,878",Gaming,2005
605,Gyan Gamingㅤ,"1,43,00,000","2,08,13,51,545","2,514",Gaming,2017
606,Zach King,"1,43,00,000","2,01,41,52,450",398,Entertainment,2013
607,It's Mamix,"1,43,00,000","1,54,75,21,967",200,People & Blogs,2017
608,Hear This Music,"1,42,00,000","8,51,13,85,256",38,Music,2016
609,Unspeakable,"1,42,00,000","7,36,56,42,885",668,Gaming,2016
610,SIS vs BRO,"1,42,00,000","6,76,78,38,159",357,Entertainment,2016
611,Mohamed Ramadan I محمد رمضان,"1,42,00,000","4,81,29,94,887",599,People & Blogs,2014
612,Trap City,"1,42,00,000","4,88,51,63,357","2,554",Music,2012
613,Totoy kids - Español,"1,42,00,000","4,53,30,34,236",167,Film & Animation,2017
614,Camila Loures,"1,42,00,000","4,18,90,52,804","3,429",Music,2014
615,Zach Choi ASMR,"1,42,00,000","2,51,29,37,687",638,People & Blogs,2014
616,MalumaVEVO,"1,41,00,000","17,90,50,81,262",168,Music,2011
617,ABS-CBN News,"1,41,00,000","9,43,89,04,191","1,74,684",News & Politics,2009
618,CNN,"1,41,00,000","12,08,32,77,333","1,55,569",News & Politics,2005
619,Zee Music Classic,"1,41,00,000","5,02,11,64,640",964,Music,2014
620,ช่อง8 : Thai Ch8,"1,41,00,000","5,22,11,55,648","20,582",Entertainment,2011
621,Daily Dose Of Internet,"1,41,00,000","4,26,57,11,762",396,Entertainment,2015
622,Invento na Hora,"1,41,00,000","3,85,15,07,257","1,189",Film & Animation,2014
623,#Refugio Mental,"1,41,00,000","3,41,00,01,605",688,Entertainment,2013
624,Anasala I أنس و أصالة,"1,41,00,000","3,06,86,19,934",407,Entertainment,2017
625,Мастерская Настроения,"1,40,00,000","3,63,68,09,960",891,Entertainment,2013
626,Aphmau,"1,40,00,000","13,36,47,84,369","3,996",Gaming,2012
627,O Canal do Joãozinho - Little Angel Português,"1,40,00,000","7,75,21,54,061",649,Entertainment,2018
628,Трум Трум,"1,40,00,000","6,27,20,05,457","1,987",Howto & Style,2015
629,AM3NlC,"1,40,00,000","4,81,66,38,383","5,446",Gaming,2012
630,F2Freestylers - Ultimate Soccer Skills Channel,"1,40,00,000","3,15,25,82,636",777,Sports,2011
631,A2 Motivation by {Arvind Arora},"1,39,00,000","8,01,30,16,996","2,340",Entertainment,2017
632,Taarak Mehta Ka Ooltah Chashmah,"1,39,00,000","8,04,82,10,407","2,519",Entertainment,2014
633,EdisonPts,"1,39,00,000","5,60,69,59,168","3,490",Gaming,2013
634,UFC - Ultimate Fighting Championship,"1,39,00,000","5,42,23,35,319","12,258",Sports,2006
635,Kuplinov ► Play,"1,39,00,000","5,77,80,34,318","6,400",Gaming,2012
636,CoryxKenshin,"1,39,00,000","5,81,62,95,650","1,628",Gaming,2009
637,DM - Desi Melodies,"1,39,00,000","5,05,60,80,182",45,Music,2017
638,Bie The Ska,"1,39,00,000","4,42,76,09,230","1,349",Entertainment,2006
639,Saad Lamjarred | سعد لمجرد,"1,39,00,000","3,93,12,02,248",156,Music,2012
640,Doc Tops,"1,39,00,000","2,46,94,11,668",437,Entertainment,2014
641,Mis Pastelitos,"1,39,00,000","2,38,22,68,150",534,Howto & Style,2014
642,NikkieTutorials,"1,39,00,000","1,56,27,68,226",852,Howto & Style,2008
643,FC Barcelona,"1,38,00,000","2,20,33,76,862","9,960",Sports,2006
644,Blippi Español,"1,38,00,000","7,68,54,05,847",408,People & Blogs,2017
645,Daniel LaBelle,"1,38,00,000","7,01,33,83,323",224,Comedy,2009
646,melanie martinez,"1,38,00,000","3,83,59,68,267",96,Music,2007
647,Rosanna Pansino,"1,38,00,000","4,05,70,54,946","1,007",Howto & Style,2010
648,Auron,"1,38,00,000","2,58,34,08,205",694,People & Blogs,2013
649,NOBRU,"1,37,00,000","22,51,91,097",344,Gaming,2016
650,Mazhavil Manorama,"1,37,00,000","13,82,21,77,908","70,454",Entertainment,2011
651,MNCTV OFFICIAL,"1,37,00,000","7,39,48,53,164","54,722",Entertainment,2012
652,ADEL et SAMI,"1,37,00,000","5,66,02,89,473",362,Entertainment,2018
653,NichLmao,"1,37,00,000","7,26,92,91,992",562,People & Blogs,2018
654,Hongyu ASMR 홍유,"1,37,00,000","4,28,54,57,943",515,People & Blogs,2018
655,Dang Matt Smith,"1,37,00,000","3,10,18,95,284","1,372",Entertainment,2011
656,Darkar Company Studios,"1,37,00,000","2,20,11,67,967",164,Film & Animation,2009
657,MAIKI021,"1,37,00,000","1,89,38,20,151","2,919",Entertainment,2008
658,Wengie,"1,37,00,000","1,88,22,35,841",373,Howto & Style,2010
659,GMM25Thailand,"1,36,00,000","8,72,72,07,691","53,533",Entertainment,2011
660,50 Cent,"1,36,00,000","8,64,91,39,354",417,Music,2007
661,Lyna,"1,36,00,000","5,80,11,99,256","4,452",Gaming,2014
662,TazerCraft,"1,36,00,000","5,32,54,54,303","3,977",Gaming,2011
663,CrashCourse,"1,36,00,000","1,69,96,69,363","1,436",Education,2006
664,Zig & Sharko,"1,35,00,000","8,30,60,91,825",826,Film & Animation,2015
665,5-Minute Crafts Recycle,"1,35,00,000","7,50,88,43,409","2,770",People & Blogs,2019
666,Aadishakti Films,"1,35,00,000","5,86,07,77,243","4,599",Music,2016
667,infobells,"1,35,00,000","4,97,75,66,807",463,Education,2011
668,The World Adventures हिन्दी,"1,35,00,000","2,11,60,09,610",854,People & Blogs,2016
669,PlayHard,"1,35,00,000","1,92,65,32,344","2,138",Gaming,2014
670,Neha Kakkar,"1,35,00,000","1,79,27,57,553",122,Music,2012
671,ZEE5,"1,34,00,000","15,77,85,44,226","69,731",Entertainment,2018
672,Jake Fellman,"1,34,00,000","10,04,71,23,955",352,Entertainment,2012
673,ABC News,"1,34,00,000","11,58,97,84,991","71,206",News & Politics,2006
674,Gallina Pintadita,"1,34,00,000","9,05,47,27,117",59,Music,2011
675,Telemundo,"1,34,00,000","7,85,53,26,888","18,325",Entertainment,2007
676,Wesley Safadão,"1,34,00,000","7,30,13,07,830",371,Music,2009
677,AzzyLand,"1,34,00,000","6,04,54,22,126","1,620",Gaming,2015
678,FAPTV,"1,34,00,000","4,97,58,21,188",595,Comedy,2014
